name,URL,stars,type,rating,pitches,Length,latitude,longitude,id,location,grade,safety,Unnamed: 0
Thrown to the Dogs,https://www.mountainproject.com/route/112310661/thrown-to-the-dogs,1.0,Trad,5.9,1,45,34.00215,-116.05898,112310661,"['Top Secret Tower', 'Jumbo Rock Area', 'Joshua Tree National Park', 'California']",9,S,
Elbonian Arete,https://www.mountainproject.com/route/110851360/elbonian-arete,1.0,Sport,5.9-,1,,34.01731,-116.14415,110851360,"['Dilbert Dome', 'Comic Book Area', 'Joshua Tree National Park', 'California']",9,S,
Doke,https://www.mountainproject.com/route/106723414/doke,1.0,Trad,5.9,1,80,34.09229,-116.16381,106723414,"['Apparition Rock (Front)', 'Apparition Rock', 'Indian Cove Campground', 'Indian Cove', 'Joshua Tree National Park', 'California']",9,S,
The Cryptologists,https://www.mountainproject.com/route/107908705/the-cryptologists,1.0,Trad,5.9,1,50,33.99824,-116.15358,107908705,"['The Crypt', 'Planet X Area', 'Sheep Pass Area', 'Joshua Tree National Park', 'California']",9,S,
Short but Potent,https://www.mountainproject.com/route/108491698/short-but-potent,1.0,Trad,5.9,1,17,34.05296,-116.17629,108491698,"['Unreported Rock', 'North Wonderland Approach', 'Wonderland North', 'Wonderland of Rocks', 'Joshua Tree National Park', 'California']",9,S,
Enter the Dragon,https://www.mountainproject.com/route/105722185/enter-the-dragon,1.0,Trad,5.9,1,40,34.02796,-116.14458,105722185,"['Gunsmoke Area', 'Barker Dam Area', 'Joshua Tree National Park', 'California']",9,S,
Love Nugget,https://www.mountainproject.com/route/106823741/love-nugget,1.0,Sport,5.9,1,50,34.0094,-116.0558,106823741,"['SE Boulders', 'Split Rocks', 'Joshua Tree National Park', 'California']",9,S,
Don't Look A Gift Frog In The Mouth,https://www.mountainproject.com/route/105725848/dont-look-a-gift-frog-in-the-mouth,1.0,Trad,5.9,1,80,34.01232,-116.17133,105725848,"['Tumbling Rainbow Formation', 'Real Hidden Valley', 'Joshua Tree National Park', 'California']",9,S,
Gumjob,https://www.mountainproject.com/route/106067999/gumjob,1.0,TR,5.9,1,50,34.05296,-116.17629,106067999,"['The Seitch', 'North Wonderland Approach', 'Wonderland North', 'Wonderland of Rocks', 'Joshua Tree National Park', 'California']",9,S,
Metabolic Frolic,https://www.mountainproject.com/route/105858166/metabolic-frolic,1.0,Trad,5.9,1,60,34.0041,-116.05903,105858166,"['Isles in the Sky (Southeast Face)', 'Isles in the Sky', 'Split Rocks', 'Joshua Tree National Park', 'California']",9,S,
Sgt. Saturn,https://www.mountainproject.com/route/106643018/sgt-saturn,1.0,Trad,5.9 PG13,1,95,34.01676,-116.17215,106643018,"['The Brown Wall', 'Real Hidden Valley', 'Joshua Tree National Park', 'California']",9,PG13,
Poodle-oids from The Deep,https://www.mountainproject.com/route/105846273/poodle-oids-from-the-deep,1.0,Trad,5.9,1,130,34.02427,-116.17832,105846273,"['Hemingway Buttress (East Face Center)', 'Hemingway Buttress', 'Lost Horse Area', 'Joshua Tree National Park', 'California']",9,S,
Mimo Provoz,https://www.mountainproject.com/route/106834489/mimo-provoz,1.0,Trad,5.9,1,60,34.0898,-116.23412,106834489,"[""Lizard's Landing-East Formation"", ""Lizard's Landing"", 'Quail Springs Area', 'Joshua Tree National Park', 'California']",9,S,
Ravens Do Nasty Things To My Bottom,https://www.mountainproject.com/route/105846294/ravens-do-nasty-things-to-my-bottom,1.0,Trad,5.9,1,60,34.02459,-116.17916,105846294,"['Hemingway Buttress (East Face Right)', 'Hemingway Buttress', 'Lost Horse Area', 'Joshua Tree National Park', 'California']",9,S,
"Bad Cop, No Donut",https://www.mountainproject.com/route/105723856/bad-cop-no-donut,1.0,Trad,5.9+,1,40,34.0207,-116.05337,105723856,"['Bad Cop Rock', 'The Bond Boulders', 'Loveland', 'Joshua Tree National Park', 'California']",9,S,
Snow Falls,https://www.mountainproject.com/route/105834975/snow-falls,1.0,Trad,5.9,1,40,34.03159,-116.14995,105834975,"['Rockworks Rock', 'Barker Dam Area', 'Joshua Tree National Park', 'California']",9,S,
Mine Shaft,https://www.mountainproject.com/route/106805816/mine-shaft,1.0,Trad,5.9,1,50,33.9571,-116.1205,106805816,"['The Iguana', 'The Galapagos', 'Geology Tour Road', 'Joshua Tree National Park', 'California']",9,S,
A Last Cigarette Senor?,https://www.mountainproject.com/route/107103078/a-last-cigarette-senor,1.0,Trad,5.9+,1,50,34.0963,-116.1522,107103078,"['Morbid Mound', 'Indian Cove Campground', 'Indian Cove', 'Joshua Tree National Park', 'California']",9,S,
Thin Air,https://www.mountainproject.com/route/107105104/thin-air,1.0,Trad,5.9,1,30,33.99983,-116.14687,107105104,"['East Wall Inner (Exorcist Area)', 'Hall of Horrors', 'Hall of Horrors Area', 'Sheep Pass Area', 'Joshua Tree National Park', 'California']",9,S,
Morituri Te Salutamus,https://www.mountainproject.com/route/107127032/morituri-te-salutamus,1.0,Trad,5.9,1,60,34.0963,-116.1522,107127032,"['Morbid Mound', 'Indian Cove Campground', 'Indian Cove', 'Joshua Tree National Park', 'California']",9,S,
Corn Dog,https://www.mountainproject.com/route/106059303/corn-dog,1.0,Trad,5.9,1,50,34.05296,-116.17629,106059303,"['The Convenience Store', 'North Wonderland Approach', 'Wonderland North', 'Wonderland of Rocks', 'Joshua Tree National Park', 'California']",9,S,
Rhino Bucket,https://www.mountainproject.com/route/107166346/rhino-bucket,1.0,Trad,5.9,1,60,34.03348,-116.03278,107166346,"['Northeast Face', 'Voodoo Dome', 'OZ_', 'OZ Area', 'Joshua Tree National Park', 'California']",9,S,
Kinda Sorta,https://www.mountainproject.com/route/107124599/kinda-sorta,1.0,Trad,5.9 R,1,50,34.09367,-116.16107,107124599,"['Clump Canyon', 'Indian Cove Campground', 'Indian Cove', 'Joshua Tree National Park', 'California']",9,R,
Lunch is for Wimps,https://www.mountainproject.com/route/105975173/lunch-is-for-wimps,1.0,Trad,5.9 R,1,50,34.0213,-116.1728,105975173,"['Wall Street', 'Roadside Rocks', 'Joshua Tree National Park', 'California']",9,R,
Channel Surfer,https://www.mountainproject.com/route/107166334/channel-surfer,1.0,Trad,5.9,1,60,34.03348,-116.03278,107166334,"['Northwest Face', 'Voodoo Dome', 'OZ_', 'OZ Area', 'Joshua Tree National Park', 'California']",9,S,
976,https://www.mountainproject.com/route/105846279/976,1.0,Trad,5.9,1,50,34.02427,-116.17832,105846279976,"['Hemingway Buttress (East Face Center)', 'Hemingway Buttress', 'Lost Horse Area', 'Joshua Tree National Park', 'California']",9,S,
Skoal,https://www.mountainproject.com/route/106041222/skoal,1.0,Trad,5.9,1,50,34.02293,-116.17802,106041222,"['Copenhagen Wall', 'Lost Horse Area', 'Joshua Tree National Park', 'California']",9,S,
Tortoise Skeleton Crack,https://www.mountainproject.com/route/105851426/tortoise-skeleton-crack,1.0,Trad,5.9,1,60,33.99423,-116.059,105851426,"['Teepee Rock', 'Jumbo Rock Area', 'Joshua Tree National Park', 'California']",9,S,
Rye Not,https://www.mountainproject.com/route/105851212/rye-not,1.0,Trad,5.9-,1,40,33.99291,-116.06971,105851212,"['Earth First Rock', 'Jumbo Rock Area', 'Joshua Tree National Park', 'California']",9,S,
"Use a Gun, Go to Jail",https://www.mountainproject.com/route/105723436/use-a-gun-go-to-jail,1.0,Sport,5.9+,1,40,34.00279,-116.13468,105723436,"['Cavern Rock', 'Cave Corridor Area', 'Sheep Pass Area', 'Joshua Tree National Park', 'California']",9,S,
