id,name,type,rating,stars,starVotes,pitches,location,longitude,latitude,safety,grade
105721678,Forbidden Paradise,Trad,5.10b,3.7,58,1,"['California', 'Joshua Tree National Park', 'Echo Rock Area', 'Echo Rock', 'Echo Rock - West Face']",-116.1562,34.0251,S,10
107816748,Field and Stream,Trad,5.10c,4.5,42,1,"['California', 'Joshua Tree National Park', 'Quail Springs Area', 'White Cliffs of Dover', 'White Cliffs of Dover - Left Side']",-116.199,34.0292,S,10
105722542,A Woman's Work is Never Done,Trad,5.10c,3.3,64,1,"['California', 'Joshua Tree National Park', 'The Outback', 'Labor Dome']",-116.1668,34.0211,S,10
105724828,Pops Goes Hawaiian,Trad,5.7 R,3.4,62,1,"['California', 'Joshua Tree National Park', 'Wonderland of Rocks', 'Wonderland North', 'North Wonderland Approach', 'Reggie Dome']",-116.1778,34.0405,R,7
105723430,Where Have all the Cowboys Gone,Trad,5.10d,4.6,38,3,"['California', 'Joshua Tree National Park', 'Sheep Pass Area', 'Saddle Rocks Area', 'Saddle Rocks', 'Saddle Rocks - Skirt', 'Saddle Rocks - Skirt  (West Face)']",-116.14,33.9945,S,10
105724672,Leap Erickson,Trad,5.10b,3.6,58,1,"['California', 'Joshua Tree National Park', 'Lost Horse Area', 'Dairy Queen Wall', 'Dairy Queen Wall - Left Side']",-116.177,34.0216,S,10
105723793,B-3,Trad,5.3,2.5,157,1,"['California', 'Joshua Tree National Park', 'Quail Springs Area', 'Trashcan Rock', 'Trashcan Rock - West Face']",-116.1974,34.0403,S,3
107148146,Incandescent,Sport,5.8,3.5,60,1,"['California', 'Joshua Tree National Park', 'Echo Rock Area', 'Little Hunk', 'Little Hunk - NE Face', 'Little Hunk - NE Face (Right)']",-116.1531,34.0277,S,8
105722812,Nuts and Cherries,Trad,5.7,2.8,74,1,"['California', 'Joshua Tree National Park', 'Lost Horse Area', 'Dairy Queen Wall', 'Dairy Queen Wall - Right Side']",-116.1773,34.0219,S,7
105723790,B-2,Trad,5.3,2.5,161,1,"['California', 'Joshua Tree National Park', 'Quail Springs Area', 'Trashcan Rock', 'Trashcan Rock - West Face']",-116.1974,34.0403,S,3
105725509,SOB,Trad,5.6,2.5,81,1,"['California', 'Joshua Tree National Park', 'Indian Cove', 'Indian Cove Campground', 'Short Wall', 'Short Wall - Right Side']",-116.1532,34.0926,S,6
105816299,Grounder,Trad,5.9,3.4,62,1,"['California', 'Joshua Tree National Park', 'Split Rocks', 'Isles in the Sky', 'Isles Corridor', 'Isles Corridor - Left Side']",-116.0589,34.0045,S,9
105787765,New Toy,Trad,5.6,2.9,72,1,"['California', 'Joshua Tree National Park', 'Stirrup Tank', 'Stirrup Rock', 'Stirrup Rock - North Face']",-116.0205,33.9605,S,6
105725809,Martin Quits,Trad,5.10c,3.6,58,1,"['California', 'Joshua Tree National Park', 'Real Hidden Valley', 'Gateway Rock']",-116.1686,34.0124,S,10
105725551,Physical Graffiti,Sport,5.10d,4.6,38,2,"['California', 'Joshua Tree National Park', 'Echo Rock Area', 'Anasazi Wall']",-116.1486,34.0263,S,10
105725071,British Airways,Trad,5.11a R,4,49,1,"['California', 'Joshua Tree National Park', 'Echo Rock Area', 'Echo Rock', 'Echo Rock - South Face']",-116.1551,34.0246,R,11
105721978,Campfire Girl (Half Route),Trad,5.8+,3.9,52,1,"['California', 'Joshua Tree National Park', 'Indian Cove', 'Indian Cove Campground', 'Campfire Crag Area', 'Campfire Crag - North Face']",-116.1585,34.0957,S,8
105723400,Just Another Roadside Attraction,Trad,5.8,3.1,68,1,"['California', 'Joshua Tree National Park', 'Roadside Rocks', 'Roadside Rock']",-116.1811,34.0298,S,8
105723058,Six-Gun by My Side,Trad,5.10a,3.5,60,1,"['California', 'Joshua Tree National Park', 'Indian Cove', 'Rattlesnake Canyon', 'Corral Wall', 'Corral Wall - Left Side']",-116.1426,34.0835,S,10
105722386,Scary Poodles,Trad,5.11b,4.6,37,1,"['California', 'Joshua Tree National Park', 'Lost Horse Area', 'Hemingway Buttress', 'Hemingway Buttress (East Face Center)']",-116.1783,34.0243,S,11
105802175,Pinky Lee,Trad,5.11a,3,68,1,"['California', 'Joshua Tree National Park', 'Echo Rock Area', 'Echo Cove', 'Echo Cove - North Side']",-116.1578,34.0249,S,11
105722152,Thumbs Down Left,Trad,5.9,3,69,1,"['California', 'Joshua Tree National Park', 'Geology Tour Road', 'Virgin Islands Area', 'Star Wars Rock']",-116.0712,33.9504,S,9
105721819,Championship Wrestling,Trad,5.9,3.7,55,1,"['California', 'Joshua Tree National Park', 'Real Hidden Valley', 'Sports Challenge Rock', 'Sports Challenge Rock - East Face']",-116.1691,34.0141,S,9
106044952,Love Gas,Sport,5.10a,3.7,55,1,"['California', 'Joshua Tree National Park', 'Wonderland of Rocks', 'Wonderland North', 'The Middle Kingdom', 'Outer Mongolia', 'Siberia']",-116.1699,34.0696,S,10
105724294,South Face Center,TR,5.9,3.5,56,1,"['California', 'Joshua Tree National Park', 'Sheep Pass Area', 'Ryan Campground', 'Headstone Rock']",-116.1524,33.9844,S,9
105723082,Firewater Chimney,Trad,5.10b,4.6,34,1,"['California', 'Joshua Tree National Park', 'Indian Cove', 'Rattlesnake Canyon', 'The Valley of Kings', 'The Arrowhead']",-116.1407,34.0726,S,10
106170736,Poodlesby,Trad,5.6,3,68,1,"['California', 'Joshua Tree National Park', 'Lost Horse Area', 'Hemingway Buttress', 'Hemingway Buttress (East Face Left)']",-116.1778,34.0239,S,6
105721672,Stick to What,Trad,5.9 R,3,66,1,"['California', 'Joshua Tree National Park', 'Echo Rock Area', 'Echo Rock', 'Echo Rock - West Face']",-116.1562,34.0251,R,9
105721852,Monaco,Sport,5.11b,3.8,50,1,"['California', 'Joshua Tree National Park', 'Indian Cove', 'Indian Cove Campground', 'Feudal Wall', 'Feudal Wall (Left Side)']",-116.154,34.093,S,11
105721921,Space Mountain,Trad,5.10b,4.5,36,1,"['California', 'Joshua Tree National Park', 'Sheep Pass Area', 'Saddle Rocks Area', 'Saddle Rocks', 'Saddle Rocks - Skirt', 'Saddle Rocks - Skirt (North Face)']",-116.1397,33.9947,S,10
105722461,Water Chute,Trad,5.10b,3.4,59,1,"['California', 'Joshua Tree National Park', 'Hidden Valley Campground', 'Intersection Rock']",-116.163,34.0148,S,10
105909202,Water Moccasin,Sport,5.7,3.1,64,1,"['California', 'Joshua Tree National Park', 'Indian Cove', 'Indian Cove Campground', 'Indian Palisades Corridor']",-116.1544,34.0937,S,7
105722632,Left Sawdust Crack,Trad,5.10c,3.2,62,1,"['California', 'Joshua Tree National Park', 'Quail Springs Area', 'Trashcan Rock', 'Trashcan Rock - East Face']",-116.1972,34.0403,S,10
105725653,Sig Alert (aka Cast Up a Highway),Trad,5.10b/c,3.8,49,1,"['California', 'Joshua Tree National Park', 'Lost Horse Area', 'Freeway Wall', 'Upper Freeway Wall']",-116.1787,34.0233,S,10
105724183,Conservative Policies,Trad,5.8,2.9,68,1,"['California', 'Joshua Tree National Park', 'Real Hidden Valley', 'The Thin Wall']",-116.1728,34.0144,S,8
105725317,Dress Rehearsal,Trad,5.7,3,66,1,"['California', 'Joshua Tree National Park', 'Lost Horse Area', 'Playhouse Rock']",-116.1757,34.022,S,7
110694423,The Sand Donkey (aka Will It or Won't It),Sport,5.8,3.6,53,1,"['California', 'Joshua Tree National Park', 'Indian Cove', 'Indian Cove Campground', 'Willit Pillar']",-116.1551,34.0933,S,8
105723934,C.S. Special,Trad,5.10b,3.4,57,1,"['California', 'Joshua Tree National Park', 'Echo Rock Area', 'Echo Cove', 'Echo Cove - South Face']",-116.1582,34.0242,S,10
106075758,Feminine Itch,Sport,5.7,3.1,61,1,"['California', 'Joshua Tree National Park', 'Indian Cove', 'Indian Cove Campground', 'Campfire Crag Area', 'Campfire Crag - South Face']",-116.1586,34.0951,S,7
105724639,Beck's Bear,Trad,5.7,2.7,71,1,"['California', 'Joshua Tree National Park', 'Lost Horse Area', 'Playhouse Rock']",-116.1757,34.022,S,7
105723673,Bikini Whale,Sport,5.12,4.8,29,1,"['California', 'Joshua Tree National Park', 'Real Hidden Valley', 'The Hidden Cliff']",-116.1714,34.0129,S,12
105722533,Sitting Here in Limbo,Trad,5.9,3.5,55,1,"['California', 'Joshua Tree National Park', 'Echo Rock Area', 'Echo Cove', 'Echo Cove - South Face']",-116.1582,34.0242,S,9
105722587,I Can't Believe It's a Girdle,Trad,5.10b R,4.9,26,4,"['California', 'Joshua Tree National Park', 'Wonderland of Rocks', 'Wonderland South', 'Wonderland Valley', 'East Wonderland Valley', 'Freak Brothers Dome']",-116.1444,34.0428,R,10
