Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Wannabe Route","Trifling Rock (East Face) > Trifling Rock > Near East > Wonderland South > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/107134398/wannabe-route,1.5,-1,Trad,5.10b,1,150,34.03433,-116.13566
"Foundation Crack","Afro Blues Wall (Southeast Face) > Afro Blues Wall > Near East > Wonderland South > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/107156369/foundation-crack,2.0,-1,Trad,5.10b,1,60,34.03339,-116.13863
"Wayward Hayward","Senile Dome > Near East > Wonderland South > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/107156376/wayward-hayward,-1.0,-1,Trad,5.10b,2,160,34.03693,-116.13612
"Camo Corner","The Cornerstone > Far East > Wonderland South > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/105724396/camo-corner,1.0,-1,Trad,5.10-,1,30,34.05266,-116.13742
"Aliens Ate My Buick","Bighorn Dome > Far East > Wonderland South > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/105723523/aliens-ate-my-buick,1.7,-1,Trad,5.10b,1,120,34.04798,-116.13913
"Mad Hatter, The","Disneyland Dome > Central Wonderland > Wonderland South > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/107187777/mad-hatter-the,2.0,-1,Trad,5.10b,2,200,34.0462,-116.1445
"Mental Bankruptcy","Disneyland Dome > Central Wonderland > Wonderland South > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/106603180/mental-bankruptcy,2.7,-1,Trad,"5.10b PG13",3,,34.0462,-116.1445
"Jungle Cruise","Disneyland Dome > Central Wonderland > Wonderland South > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/105791728/jungle-cruise,2.5,-1,Trad,5.10b,1,120,34.0462,-116.1445
"Walt's Frozen Head","Disneyland Dome > Central Wonderland > Wonderland South > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/110983975/walts-frozen-head,1.0,-1,Trad,"5.10 PG13",1,80,34.0462,-116.1445
Fantasia,"Disneyland Dome > Central Wonderland > Wonderland South > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/112427052/fantasia,1.0,-1,Trad,"5.10b/c R",3,200,34.0462,-116.1445
"No Glove, No Love","Thrutcher Dome > Central Wonderland > Wonderland South > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/106789332/no-glove-no-love,1.0,-1,Trad,5.10b,2,120,34.04558,-116.1435
"Feeding Frenzy","Thrutcher Dome > Central Wonderland > Wonderland South > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/107134426/feeding-frenzy,1.5,-1,Trad,5.10b,1,60,34.04558,-116.1435
"I Saw Daddy Kissing Santa","Butler Corridor > Central Wonderland > Wonderland South > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/106722007/i-saw-daddy-kissing-santa,3.0,-1,Sport,5.10b/c,1,80,34.04779,-116.14372
"Vice President","Elephant Arches > Central Wonderland > Wonderland South > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/114033141/vice-president,3.0,-1,Trad,"5.10b R",1,120,34.04998,-116.1449
"Tony Carbonie","Inauguron Dome > Central Wonderland > Wonderland South > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/106783911/tony-carbonie,1.5,-1,Trad,5.10b,2,120,34.04917,-116.1443
