Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Desert Delirium (aka Lost in the Wonderland)","Lost in the Wonderland Slab > Far East > Wonderland South > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/105891693/desert-delirium-aka-lost-in-the-wonderland,2.8,-1,Trad,"5.10a R",2,170,34.05234,-116.14056
"Yardy Hoo and Away","Inauguron Dome > Central Wonderland > Wonderland South > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/105723757/yardy-hoo-and-away,2.2,-1,Trad,"5.10a R",2,200,34.04917,-116.1443
"Dangling Woo Li Master","Bighorn Mating Grotto > Diarrhea Dome > Central Wonderland > Wonderland South > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/105722431/dangling-woo-li-master,3.4,-1,Trad,5.10a,1,100,34.05146,-116.14733
"Caught Inside on a Big Set","Bighorn Mating Grotto > Diarrhea Dome > Central Wonderland > Wonderland South > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/105722974/caught-inside-on-a-big-set,3.2,-1,Trad,5.10a,1,80,34.05146,-116.14733
"Still Crazy After All These Years","Roundup Rock > Central Wonderland > Wonderland South > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/107123315/still-crazy-after-all-these-years,2.0,-1,Trad,5.10a,1,80,34.04779,-116.14372
"Cactus Dog","Pea Brain > East Wonderland Valley > Wonderland Valley > Wonderland South > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/110226265/cactus-dog,2.0,-1,Trad,5.10a,1,100,34.0437,-116.14234
Orbitty,"Pea Brain > East Wonderland Valley > Wonderland Valley > Wonderland South > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/116382998/orbitty,1.0,-1,TR,5.10-,1,80,34.0437,-116.14234
"Bring Your Own Wheelbarrow","Wheelbarrow Rock > West Wonderland Valley > Wonderland Valley > Wonderland South > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/105725677/bring-your-own-wheelbarrow,1.0,-1,TR,5.10a,1,,34.038,-116.14611
"Strike It Rich","South Astro Dome - East Face > South Astro Dome > The Astro Domes > West Wonderland Valley > Wonderland Valley > Wonderland South > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/107098711/strike-it-rich,1.0,-1,Trad,"5.10a R",2,300,34.03824,-116.1466
[Redacted],"South Astro Dome - East Face > South Astro Dome > The Astro Domes > West Wonderland Valley > Wonderland Valley > Wonderland South > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/106787984/redacted,2.0,-1,Trad,5.10a,1,60,34.03824,-116.1466
